Type,Title,ngstarinserted__divcontains_class_ecludnone,ngstarinserted__divcontains_class_ecludnone3,eclrow,eclrow5,eclrow7,Content8,eclrow9,Image
 Geratek , Porvoo GT1000W ,Annual energy consumption, 212,Sum of the volumes of the frozen compartment(s), 98,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 0, 0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 ASPES , ARV185DDX ,Annual energy consumption, 118,Sum of the volumes of the frozen compartment(s), 0,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 359, 359,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WHIRLPOOL , W5 921E OX 2 ,Annual energy consumption, 249,Sum of the volumes of the frozen compartment(s), 111,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 261, 261,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Beko , RFNE200E40WN ,Annual energy consumption, 213,Sum of the volumes of the frozen compartment(s), 177,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Beko , RCNE560E40DZXBN ,Annual energy consumption, 303,Sum of the volumes of the frozen compartment(s), 158,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 352, 352,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Bosch , KIV77VSF0 ,Annual energy consumption, 260,Sum of the volumes of the frozen compartment(s), 63,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 169, 169,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 HOTPOINT/ARISTON , ZHS6 1Q XRD (2) ,Annual energy consumption, 141,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 322, 322,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 HOTPOINT/ARISTON , BCB 703011 ,Annual energy consumption, 283,Sum of the volumes of the frozen compartment(s), 79,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 194, 194,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 HOTPOINT/ARISTON , BCB 7030 S1 ,Annual energy consumption, 283,Sum of the volumes of the frozen compartment(s), 79,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 194, 194,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Beko , RSSE265K30SN ,Annual energy consumption, 131,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 252, 252,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 INDESIT , IN TS 1612 1 ,Annual energy consumption, 117,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 144, 144,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 INDESIT , LR9 S1Q F X (2) ,Annual energy consumption, 315,Sum of the volumes of the frozen compartment(s), 111,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 260, 260,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 CONCEPT , LA7691bc ,Annual energy consumption, 312,Sum of the volumes of the frozen compartment(s), 184,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 372, 372,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Beko , RCNE560E40DSN ,Annual energy consumption, 303,Sum of the volumes of the frozen compartment(s), 158,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 352, 352,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Siemens , KI77VVSF0 ,Annual energy consumption, 260,Sum of the volumes of the frozen compartment(s), 63,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 169, 169,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Bosch , GSN36BWFV ,Annual energy consumption, 294,Sum of the volumes of the frozen compartment(s), 242,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 0, 0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 WHIRLPOOL , W7 811I OX (2) ,Annual energy consumption, 317,Sum of the volumes of the frozen compartment(s), 104,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 239, 239,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 HOTPOINT/ARISTON , SH6 1Q RW (2) ,Annual energy consumption, 141,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 322, 322,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Bosch , KIV86VSF0 ,Annual energy consumption, 279,Sum of the volumes of the frozen compartment(s), 76,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 192, 192,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 SVAN , SVAM187DK ,Annual energy consumption, 396,Sum of the volumes of the frozen compartment(s), 203,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 359, 359,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 HOTPOINT , HZ A1.UK 1 ,Annual energy consumption, 218,Sum of the volumes of the frozen compartment(s), 91,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 INDESIT , OS 1A 100 2 UK 2 ,Annual energy consumption, 211,Sum of the volumes of the frozen compartment(s), 99,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Siemens , KI86VVSF0 ,Annual energy consumption, 279,Sum of the volumes of the frozen compartment(s), 76,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 192, 192,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 WHIRLPOOL , ARG 7181 ,Annual energy consumption, 127,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 209, 209,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
" DA PAN Electric Appliance Ind.Co.,Ltd ", JC-82 ,Annual energy consumption, 145,Sum of the volumes of the frozen compartment(s), 74,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 74, 74,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 Beko , RCNE560E41ZXN ,Annual energy consumption, 304,Sum of the volumes of the frozen compartment(s), 158,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 356, 356,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Electrolux , LNS6TE19S 925561054 ,Annual energy consumption, 213,Sum of the volumes of the frozen compartment(s), 61,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 213, 213,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Beko , RCNE560E40DWN ,Annual energy consumption, 303,Sum of the volumes of the frozen compartment(s), 158,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 352, 352,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 ELEKTRABREGENZ , KIR 2134-2 ,Annual energy consumption, 141,Sum of the volumes of the frozen compartment(s), 13,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 97, 97,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Beko , B1754FN ,Annual energy consumption, 141,Sum of the volumes of the frozen compartment(s), 13,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 97, 97,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WHIRLPOOL , UW8 F2Y WBI F 2 ,Annual energy consumption, 242,Sum of the volumes of the frozen compartment(s), 263,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , AGB620E6NX 925041479 ,Annual energy consumption, 221,Sum of the volumes of the frozen compartment(s), 200,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Siemens , KG36N7IEQ ,Annual energy consumption, 238,Sum of the volumes of the frozen compartment(s), 89,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 237, 237,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 AEG , AGB620E6NW 925041478 ,Annual energy consumption, 221,Sum of the volumes of the frozen compartment(s), 200,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Beko , RCNE560E40ZXBN ,Annual energy consumption, 304,Sum of the volumes of the frozen compartment(s), 158,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 356, 356,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Bosch , KGV392LEA ,Annual energy consumption, 233,Sum of the volumes of the frozen compartment(s), 94,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 249, 249,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Siemens , KS36VBWEP ,Annual energy consumption, 116,Sum of the volumes of the frozen compartment(s), 0,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 346, 346,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Siemens , KI87VVSF0 ,Annual energy consumption, 259,Sum of the volumes of the frozen compartment(s), 63,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 209, 209,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Electrolux , KRS1DF39W 925052203 ,Annual energy consumption, 152,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 390, 390,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Electrolux , KUB1AF22W 925041190 ,Annual energy consumption, 259,Sum of the volumes of the frozen compartment(s), 220,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 MASQUEFRIO , CH500T ,Annual energy consumption, 356,Sum of the volumes of the frozen compartment(s), 472,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 472, 472,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 MASQUEFRIO , CH500TI ,Annual energy consumption, 356,Sum of the volumes of the frozen compartment(s), 472,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 472, 472,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Bosch , KDN55NLFA ,Annual energy consumption, 336,Sum of the volumes of the frozen compartment(s), 118,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 335, 335,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Zanussi , ZEAN88FS 933016167 ,Annual energy consumption, 178,Sum of the volumes of the frozen compartment(s), 14,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 110, 110,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Zanussi , ZEAE88FS 933016169 ,Annual energy consumption, 178,Sum of the volumes of the frozen compartment(s), 14,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 110, 110,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Electrolux , LUB1AF22W 925041186 ,Annual energy consumption, 259,Sum of the volumes of the frozen compartment(s), 220,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Electrolux , KRB2AF88W 933017061 ,Annual energy consumption, 117,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 142, 142,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 INDESIT , UI8 F1C W UK 1 ,Annual energy consumption, 303,Sum of the volumes of the frozen compartment(s), 263,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 WHIRLPOOL , WQ9 B1L 1 ,Annual energy consumption, 420,Sum of the volumes of the frozen compartment(s), 206,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 388, 388,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 WHIRLPOOL , W5 811E OX 1 ,Annual energy consumption, 301,Sum of the volumes of the frozen compartment(s), 111,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 228, 228,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Siemens , KI87VVFF0 ,Annual energy consumption, 259,Sum of the volumes of the frozen compartment(s), 63,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 209, 209,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Leonard , LK0853 933016174 ,Annual energy consumption, 178,Sum of the volumes of the frozen compartment(s), 14,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 110, 110,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Progress , PK0853 933016175 ,Annual energy consumption, 178,Sum of the volumes of the frozen compartment(s), 14,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 110, 110,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Zanussi , ZUAN22FW 925041184 ,Annual energy consumption, 259,Sum of the volumes of the frozen compartment(s), 220,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Electrolux , KUB1AF22W 925041185 ,Annual energy consumption, 259,Sum of the volumes of the frozen compartment(s), 220,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 MASQUEFRIO , CH110T+ ,Annual energy consumption, 211,Sum of the volumes of the frozen compartment(s), 102,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 102, 102,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 INDESIT , UI8 F1C W 1 ,Annual energy consumption, 303,Sum of the volumes of the frozen compartment(s), 263,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Bosch , KIV87VFF0 ,Annual energy consumption, 259,Sum of the volumes of the frozen compartment(s), 63,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 209, 209,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Kenwood , KIFF7020 ,Annual energy consumption, 271,Sum of the volumes of the frozen compartment(s), 63,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 183, 183,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Faure , FSAN88YY 933016176 ,Annual energy consumption, 178,Sum of the volumes of the frozen compartment(s), 14,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 110, 110,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Electrolux , KRS1DF39W 925052202 ,Annual energy consumption, 152,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 390, 390,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Electrolux , KRS1DF39X 925052204 ,Annual energy consumption, 152,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 390, 390,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Faure , FSAN88FS 933016168 ,Annual energy consumption, 178,Sum of the volumes of the frozen compartment(s), 14,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 110, 110,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Electrolux , LUT5NF20W 925041482 ,Annual energy consumption, 276,Sum of the volumes of the frozen compartment(s), 200,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 AEG , AGB422F1AW 925041183 ,Annual energy consumption, 259,Sum of the volumes of the frozen compartment(s), 220,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Kernau , KBR 17133.1 S NF ,Annual energy consumption, 218,Sum of the volumes of the frozen compartment(s), 63,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 180, 180,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WHIRLPOOL , W7 921O OX H (2) ,Annual energy consumption, 254,Sum of the volumes of the frozen compartment(s), 104,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 267, 267,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 SUNFEEL , FG1604 ,Annual energy consumption, 178,Sum of the volumes of the frozen compartment(s), 42,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 201, 201,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 DOMO , DO938K ,Annual energy consumption, 89,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 123, 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 OCEAN , NJ 31 TLL S 2 ,Annual energy consumption, 251,Sum of the volumes of the frozen compartment(s), 209,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 HOTPOINT/ARISTON , BCB 70301 ,Annual energy consumption, 283,Sum of the volumes of the frozen compartment(s), 79,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 194, 194,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Essentials , C50BS20 ,Annual energy consumption, 244,Sum of the volumes of the frozen compartment(s), 53,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 122, 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 MPM , МРМ-240-ZS-02/A ,Annual energy consumption, 259,Sum of the volumes of the frozen compartment(s), 220,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 INDESIT , SI4 1 W1 ,Annual energy consumption, 133,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 263, 263,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 WHIRLPOOL , ART 6603 SF1 ,Annual energy consumption, 283,Sum of the volumes of the frozen compartment(s), 79,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 194, 194,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 INDESIT , UI6 1 W.1 (2) ,Annual energy consumption, 268,Sum of the volumes of the frozen compartment(s), 245,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 WHIRLPOOL , W5 811E W 1 ,Annual energy consumption, 301,Sum of the volumes of the frozen compartment(s), 111,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 228, 228,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 HOTPOINT/ARISTON , BTSZ 1632/HA 1 ,Annual energy consumption, 187,Sum of the volumes of the frozen compartment(s), 18,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 108, 108,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Beko , B1754N ,Annual energy consumption, 141,Sum of the volumes of the frozen compartment(s), 13,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 97, 97,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 DOMO , DO1051K ,Annual energy consumption, 89,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 123, 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Beko , QLS3682 7248740515 ,Annual energy consumption, 115,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 130, 130,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Scandomestic A/S  , Catertech GCT560 ,Annual energy consumption, 481,Sum of the volumes of the frozen compartment(s), 560,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 0, 0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 FRIONOR , BGN32FRI4 ,Annual energy consumption, 215,Sum of the volumes of the frozen compartment(s), 68,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 181, 181,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 ALTUS , ALS 121 SEI ,Annual energy consumption, 137,Sum of the volumes of the frozen compartment(s), 13,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 101, 101,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 MPM , MPM-112-CJ-16/AA  ,Annual energy consumption, 135,Sum of the volumes of the frozen compartment(s), 11,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 70, 70,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
﻿ De'Longhi , D4D394T20N ,Annual energy consumption, 293,Sum of the volumes of the frozen compartment(s), 149,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 278, 278,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 GRUNDIG , GKN 27940 FXN ,Annual energy consumption, 304,Sum of the volumes of the frozen compartment(s), 158,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 356, 356,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 ATAG , KD85102CD ,Annual energy consumption," 194,83",Sum of the volumes of the frozen compartment(s), 100,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WHIRLPOOL , ART 6600 LH1 ,Annual energy consumption, 283,Sum of the volumes of the frozen compartment(s), 79,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 194, 194,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 FRIONOR , FI824F ,Annual energy consumption, 187,Sum of the volumes of the frozen compartment(s), 17,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 98, 98,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 FRIONOR , BGN24FRI3 ,Annual energy consumption, 188,Sum of the volumes of the frozen compartment(s), 17,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 170, 170,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Klarstein , 10035227 ,Annual energy consumption, 95,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 42, 42,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Beko , FS127330N ,Annual energy consumption, 268,Sum of the volumes of the frozen compartment(s), 244,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), -, -,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 CASO Design , 780 ,Annual energy consumption," 174,84",Sum of the volumes of the frozen compartment(s), 0,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 380, 380,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 CASO Design , 777 ,Annual energy consumption, 166,Sum of the volumes of the frozen compartment(s), 0,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 291, 291,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 Klarstein , 10035066 ,Annual energy consumption, 160,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 128, 128,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 Klarstein , 10035104 ,Annual energy consumption, 162,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 132, 132,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
 Klarstein , 10035103 ,Annual energy consumption, 152,Sum of the volumes of the frozen compartment(s), -,Sum of the volumes of the frozen chill compartment(s) and the unfrozen compartment(s), 57, 57,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png
