Type,Title,eclrow,eclrow1,eclrow4,eclrow5,Image
 CIAM Spa , VRT3GEL18I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 13 180,17",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , VRT3GEL12+12I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 15 924,12",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , VRT1GEL18I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 13 352,61",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , VRT1GEL24I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 15 945,49",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , SQ8TS13GL24I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 11 020,89",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , SQ8S212GL24I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 11 020,89",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , SQ8T2GL24I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 11 020,89",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , SQ8TS12GL1212I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 13 208,33",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , SQ8G1GL1212I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 13 208,33",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , SQ8T2GL1212I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 13 208,33",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 ES SYSTEM K , RCH HERCULES 14 1.0 R290 (ODP) ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 7 029,90",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , ICQBL3GEL24I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 12 879,31",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , EXL74SPVT12E/X ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 3 574,81",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , EXL74SPVT18E/X ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 5 229,72",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 FREOR , VEGA SP QB K1CA05-000SP.G00 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 1 541,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 FREOR , VEGA SP QB K1HK01-LL0SF.000 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 18 052,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , GAGP06PVT12H13I ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 4 733,14",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , GAGP06PVT20H13I ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 6 203,76",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Smeva/Vision MKII , MKII-SSU-3.125-R ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 8 134,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , AMKINGEL12+12I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 15 924,12",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , VRT2GEL12I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 8 891,93",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , VRT2GEL24I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 15 237,07",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Capital Cooling , GALAXY 10 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 5 439,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CAPITAL COOLING , TROJAN MK3 2500 REMOTE VC2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 12 764,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CAPITAL COOLING , TROJAN MK3 3D REMOTE VF4 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 17 247,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WSL REFRIGERATION , MOON 1250 REMOTE VC2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 7 052,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WSL REFRIGERATION , MOON NARROW 1875 REMOTE VC2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 9 570,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WSL REFRIGERATION , MOON NARROW 1250 REMOTE VC2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 6 380,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WSL REFRIGERATION , SKY 1875 REMOTE VC2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 10 935,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WSL REFRIGERATION , ATTRACTION 1250 REMOTE HC7 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 1 949,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 NURDIL COOLING INC. , ORION 938 REMOTE HC1 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 1 635,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 NURDIL COOLING INC. , ORION 1250 REMOTE HC1 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 2 044,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , ICQGS2GEL24I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 15 353,17",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , ICQGS1GEL18I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 13 936,28",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , ICQGS3GEL12I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 9 847,24",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , ICQGS3GEL24I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 15 956,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , EXL51PPVT6I ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 3 352,75",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WSL REFRIGERATION , HORIZON 3M2 1875 REMOTE VC2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 9 943,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WSL REFRIGERATION , ATTRACTION 3M2 1250 REMOTE HC7 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 1 872,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WSL REFRIGERATION , MOON NARROW 3M2 3750 REMOTE VC2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 17 414,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 NURDIL COOLING INC. , MELIS 1875 REMOTE VC2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 10 574,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 NURDIL COOLING INC. , MELIS 1250 REMOTE VC2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 7 052,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 NURDIL COOLING INC. , MELIS 938 REMOTE VC2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 5 292,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 NURDIL COOLING INC. , SIMAV 1875 REMOTE VC2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 9 570,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 NURDIL COOLING INC. , LENA-3 938 REMOTE VC1 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 3 935,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 NURDIL COOLING INC. , MERIC 3D REMOTE VF4 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 17 247,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 NURDIL COOLING INC. , NEVA 1250 REMOTE HC7  ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 1 949,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 NURDIL COOLING INC. , NEVA 938 REMOTE HC7 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 1 533,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 NURDIL COOLING INC. , BIGA 1875 PLUG-IN VC2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 7 884,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 NURDIL COOLING INC. , BIGA 938 PLUG-IN VC2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 5 438,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 NURDIL COOLING INC. , DENSU 938 PLUG-IN VC2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 5 950,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 NURDIL COOLING INC. , LENA 1250 PLUG-IN VC1 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 5 256,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 NURDIL COOLING INC. , AKSU DAR 2D PLUG-IN VF4 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 9 855,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 VINIA 15-1-125 E , VINIA 15-1-125 E ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 5 658,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Capital Cooling , HERCULES 3D ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 15 695,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , VRT1GEL12I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 9 265,32",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , SQ8TS12GL18I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 9 252,97",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , SQ8R412GL18I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 9 252,97",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , SQ8R4UP12GL24I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 11 020,89",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , SQ8TS12GL24I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 11 020,89",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , SQ8R4UP13GL24I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 11 020,89",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , SQ8TSBGL24I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 11 020,89",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , SQ8R2GL24I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 11 020,89",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , SQ8R4UP13GL24DI ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 13 208,33",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , SQ8S212GL1212I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 13 208,33",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , SQ8S214GL1212I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 13 208,33",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , GAGP10PVT10H13I ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 5 459,77",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , GAGP10PVT15H13I ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 6 757,39",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , ICQBL2GEL12+12I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 12 730,97",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , ICQBL3GEL18I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 10 789,26",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , ICQBL3GEL12+12I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 13 068,56",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , MYA2GEL18I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 10 636,10",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , MYA3H15GEL18I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 10 789,26",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , MYA3H15GEL1212I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 13 068,56",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , EXL74SPV12E/X ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 3 574,81",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , EXL74SPV18E/X ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 5 229,72",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , EXL74SPV24E/X ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 6 908,14",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , EXL74SPVT24E/X ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 6 908,14",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 FREOR , HELLA K41702-P000P.G20 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 10 961,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Smeva/Vision MKII , MKII-SSU-3.75-R ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 9 761,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WSL REFRIGERATION , MOON 3M2 3750 REMOTE VC2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 18 860,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , MYA2GEL24I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 12 541,72",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , MYA2GEL12+12I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 12 730,97",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WSL REFRIGERATION , NEPTUN-74 2D PLUG-IN VF4 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 9 855,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WSL REFRIGERATION , ATTRACTION 938 REMOTE HC1 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 1 635,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WSL REFRIGERATION , EMOTION 1250 REMOTE HC1 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 2 044,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , EXL51PPVT6E/X ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 3 047,96",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , EXL51PPV6E/X ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 3 047,96",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WSL REFRIGERATION , SKY 2500 PLUG-IN VC2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 10 950,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WSL REFRIGERATION , MOON 938 REMOTE VC2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 5 293,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WSL REFRIGERATION , MOON NARROW 2500 REMOTE VC2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 12 764,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WSL REFRIGERATION , SKY 2500 REMOTE VC2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 14 585,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WSL REFRIGERATION , SKY 938 REMOTE VC2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 5 471,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WSL REFRIGERATION , COMET 1250 REMOTE VC1 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 5 252,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WSL REFRIGERATION , ATTRACTION 938 REMOTE HC7 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 1 533,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WSL REFRIGERATION , NEPTUN REMOTE 3D VF4 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 17 247,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CAPITAL COOLING , TROJAN MK3 1875 REMOTE VC2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 9 570,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CAPITAL COOLING , TROJAN MK3 4D REMOTE VF4 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 22 829,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , ICQGS2GEL18I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 12 650,90",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , ICQGS2GEL12I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 9 503,79",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , ICQGS2GEL12+12I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 17 061,84",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WSL REFRIGERATION , MOON 3M2 1875 REMOTE VC2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 9 614,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WSL REFRIGERATION , ATTRACTION SVM  3M2 1875 REMOTE VC1 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 6 972,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 NURDIL COOLING INC. , ICELAND 2500 RHF6 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 13 140,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CARRIER , CET200 ,Type of refrigerating appliance, Ice-cream freezers,Annual energy consumption," 662,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 ES SYSTEM K , RCS 66.199 1.875 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 7 336,50",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 ES SYSTEM K , RCS 76.215 2.5 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 9 497,30",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WSL REFRIGERATION , HORIZON 1875 PLUG-IN VC2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 7 884,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 WSL REFRIGERATION , COMET 2500 PLUG-IN VC1  ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 8 760,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 NURDIL COOLING INC. , MERIC 2D REMOTE VF4 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 11 665,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 NURDIL COOLING INC. , SAKARYA 938 REMOTE HC8 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 1 540,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 NURDIL COOLING INC. , VOLGA 1875 REMOTE VC2 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 10 574,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 NURDIL COOLING INC. , AKSU 2D PLUG-IN VF4 ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 10 220,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 VINIA VI 15-1-250 E , VINIA VI 15-1-250 E ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 7 921,00",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , MUR_60_MCD ,Type of refrigerating appliance, Supermarket cabinet,Annual energy consumption," 2 894,45",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
﻿ CIAM Spa , SPC2GEL12I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 8 962,01",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , VRT3GEL12I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 8 962,01",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , SQ8TS13GL18I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 9 252,97",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , SQ8R413GL18I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 9 252,97",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , SQ8G1GL18I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 9 252,97",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , SQ8R2GL18I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 9 252,97",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CIAM Spa , SQ8R412GL24I ,Type of refrigerating appliance, Gelato-scooping cabinet,Annual energy consumption," 11 020,89",https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
